,Year,Month,Day,Hour,Minute,Temperature.daily.mean..2.m.above.gnd.,Relative.Humidity.daily.mean..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.mean..MSL.,Total.Precipitation.daily.sum..sfc.,Snowfall.amount.raw.daily.sum..sfc.,Total.Cloud.Cover.daily.mean..sfc.,High.Cloud.Cover.daily.mean..high.cld.lay.,Medium.Cloud.Cover.daily.mean..mid.cld.lay.,Low.Cloud.Cover.daily.mean..low.cld.lay.,Sunshine.Duration.daily.sum..sfc.,Shortwave.Radiation.daily.sum..sfc.,Wind.Speed.daily.mean..10.m.above.gnd.,Wind.Direction.daily.mean..10.m.above.gnd.,Wind.Speed.daily.mean..80.m.above.gnd.,Wind.Direction.daily.mean..80.m.above.gnd.,Wind.Speed.daily.mean..900.mb.,Wind.Direction.daily.mean..900.mb.,Wind.Gust.daily.mean..sfc.,Temperature.daily.max..2.m.above.gnd.,Temperature.daily.min..2.m.above.gnd.,Relative.Humidity.daily.max..2.m.above.gnd.,Relative.Humidity.daily.min..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.max..MSL.,Mean.Sea.Level.Pressure.daily.min..MSL.,Total.Cloud.Cover.daily.max..sfc.,Total.Cloud.Cover.daily.min..sfc.,High.Cloud.Cover.daily.max..high.cld.lay.,High.Cloud.Cover.daily.min..high.cld.lay.,Medium.Cloud.Cover.daily.max..mid.cld.lay.,Medium.Cloud.Cover.daily.min..mid.cld.lay.,Low.Cloud.Cover.daily.max..low.cld.lay.,Low.Cloud.Cover.daily.min..low.cld.lay.,Wind.Speed.daily.max..10.m.above.gnd.,Wind.Speed.daily.min..10.m.above.gnd.,Wind.Speed.daily.max..80.m.above.gnd.,Wind.Speed.daily.min..80.m.above.gnd.,Wind.Speed.daily.max..900.mb.,Wind.Speed.daily.min..900.mb.,Wind.Gust.daily.max..sfc.,Wind.Gust.daily.min..sfc.,pluie.demain
1,2010,6,1,0,0,13.45,77.88,1015.76,0.1,0,65.04,33.12,36.88,45.08,350.81,5721.81,8.97,280.93,11.61,279.54,14.56,318.28,12.21,17.57,8.1,96,61,1018.4,1013.1,100,1,100,0,100,0,100,0,14.06,2.41,21.61,1.44,28.77,4.39,23.4,3.24,TRUE
3,2010,6,3,0,0,14.27,83.58,1016.39,0,0,80.95,31.62,10.83,80.54,68.66,3551.1,8.61,220.96,11.64,228.49,22.92,75.29,12.76,18.17,10.32,96,71,1017.5,1015.3,100,3.3,100,0,100,0,100,0,15.26,2.74,20.47,3.71,40.76,2.1,24.12,3.24,FALSE
5,2010,6,5,0,0,19.88,66.58,1018.18,0,0,0,0,0,0,891.68,8284.12,4.47,171.87,6.17,194,10.59,167.13,5.57,25.61,12.35,88,47,1020.7,1015.7,0,0,0,0,0,0,0,0,8.71,0.51,18.67,0.72,21.97,0.51,15.84,0.72,TRUE
7,2010,6,7,0,0,19.31,72,1013.6,0.4,0,49.69,24.12,24.33,49.25,666.7,7455.53,10.05,258.72,12.64,281.44,19.9,276.32,16.94,22.65,15.27,91,54,1015.8,1010.3,100,0.3,100,0,100,0,100,0,16.62,0.51,20.88,0.72,41.41,3.6,32.76,0.72,TRUE
9,2010,6,9,0,0,22.06,74.29,1005.01,2,0,58.77,48.42,54.67,22.17,400.71,6531.71,10.73,176.58,14.2,173.14,16.6,207.83,11.99,27.88,15.47,89,49,1006.7,1003.2,100,3,100,7,100,0,100,0,21.65,3.22,27.57,2.16,25.92,4.02,27.72,3.24,FALSE
11,2010,6,11,0,0,20.85,76.21,1009.33,1.4,0,49.75,0.21,9.42,49.75,537,6748.87,6.36,237.02,8.11,237.73,11.71,228.86,9.48,24.38,16.45,97,61,1010.7,1006.2,100,0,5,0,100,0,100,0,27.76,0.72,33.53,0.8,34.58,0.8,41.04,1.08,TRUE
13,2010,6,13,0,0,16.13,86.12,1013.63,5.1,0,92.08,11.04,60.92,91.67,0,2350.49,8.62,300.68,12.32,306.51,9.53,240.93,11.31,17.73,13.64,96,78,1014.7,1012.2,100,0,100,0,100,0,100,0,12.03,4.68,20.16,6.48,19.49,0,22.32,5.76,TRUE
15,2010,6,15,0,0,15.94,87.92,1014.41,8.2,0,77.6,50.75,53.67,75.04,29.27,2675.34,9.94,164.11,12.22,156.58,27.77,75.56,13.24,20.42,11.98,96,75,1015.7,1013.1,100,0,100,0,100,0,100,0,17.73,1.8,20.57,2.04,42.05,14.78,24.48,2.88,TRUE
17,2010,6,17,0,0,15.04,90.71,1012.7,4.8,0,100,28.54,45.33,100,0,2255.26,8.03,310.06,9.85,316.59,15.15,197.46,9.81,17.58,13.18,97,78,1013.4,1012.2,100,100,100,0,100,0,100,100,11.97,3.71,18.95,5.96,28.34,2.9,31.68,4.32,TRUE
19,2010,6,19,0,0,12.54,82.38,1009.01,5.3,0,82.57,64.08,63.17,63.79,164.07,3157.72,12.48,311.6,17.21,320.7,21.23,310.99,17.11,14.13,10.64,94,69,1011.1,1007.8,100,1,100,0,100,0,100,0,19.39,5.59,23.11,11.92,28.55,14.58,28.08,8.28,TRUE
